gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000739	0.4925295	-0.002601829	0.20346997	0.8147433	NA
ENSMUSG00000000740	1611.348	0.05348468	0.0897025	0.3976238	0.7984246
ENSMUSG00000000743	463.6661	0.1243105	0.09382879	0.05497946	0.454944
ENSMUSG00000000751	316.8993	0.06494846	0.09683524	0.3046819	0.7452613
ENSMUSG00000000753	27.42276	-0.03386168	0.12572758	0.4057471	0.8016676
ENSMUSG00000000759	371.6443	0.03084593	0.09208227	0.624813	0.9005968
ENSMUSG00000000766	157.8748	0.02020001	0.12002855	0.6714608	0.916276
ENSMUSG00000000776	76.67228	0.02997997	0.1124204	0.5913364	0.8898705
ENSMUSG00000000782	33.11929	-0.08557218	0.1355679	0.0532036	0.4498832
ENSMUSG00000000787	1971.95	-0.06484175	0.10509619	0.2905829	0.7355209
ENSMUSG00000000791	3.774551	0.03295769	0.19860657	0.1029794	0.550868
ENSMUSG00000000792	32.95798	0.03238808	0.13180767	0.3103051	0.749938
ENSMUSG00000000794	578.3801	-0.04478495	0.09990544	0.4723662	0.8368649
ENSMUSG00000000804	1185.288	-0.3423514	0.0876096	3.062342e-07	0.0009031275
ENSMUSG00000000805	31.62593	-0.03618236	0.1258008	0.3772525	0.7897737
ENSMUSG00000000811	18.77784	-0.02652902	0.1263401	0.4931877	0.84615
ENSMUSG00000000817	1.02357	0.002997693	0.16350947	0.8086595	NA
ENSMUSG00000000823	588.6124	-0.0704037	0.08676147	0.2644734	0.7177888
ENSMUSG00000000826	2252.699	0.02376108	0.08428188	0.7032523	0.9277344
ENSMUSG00000000827	284.5112	-0.05415176	0.09803702	0.389141	0.7959269
ENSMUSG00000000838	422.0995	-0.1111022	0.10432518	0.08108314	0.50563
ENSMUSG00000000861	552.4619	-0.1395328	0.13781142	0.01259719	0.256596
ENSMUSG00000000869	0.3283589	-0.007058521	0.23003267	0.5278736	NA
ENSMUSG00000000876	58.1629	0.0006299253	0.11704685	0.9901061	0.9982943
ENSMUSG00000000881	1030.784	-0.03420981	0.08741617	0.5863564	0.8875339
ENSMUSG00000000884	20.6826	0.004889284	0.12577338	0.8973052	0.9770942
ENSMUSG00000000889	0.4814281	-0.002803079	0.20375015	0.8009647	NA
ENSMUSG00000000901	10.12438	0.01352792	0.13007138	0.653952	0.9103646
ENSMUSG00000000902	352.073	0.035164	0.10279471	0.5661182	0.8778401
ENSMUSG00000000903	0.3889245	-0.007058519	0.23003266	0.5278737	NA
ENSMUSG00000000915	551.3582	0.03904685	0.09601128	0.5347738	0.8660285
ENSMUSG00000000916	62.12056	0.06909647	0.11850352	0.1969731	0.655299
ENSMUSG00000000934	67.5231	0.04718384	0.12065048	0.3359821	0.7637684
ENSMUSG00000000938	0.06349146	-0.002130945	0.21590585	0.8417778	NA
ENSMUSG00000000948	587.7657	-0.09692824	0.11895632	0.08646145	0.5203171
ENSMUSG00000000957	39.74649	0.02763811	0.12395098	0.5166608	0.8565838
ENSMUSG00000000958	6.232674	0.04190549	0.15181048	0.1096731	0.5569192
ENSMUSG00000000959	210.4066	0.1280819	0.1030207	0.04774874	0.4374672
ENSMUSG00000000976	181.7082	0.06100338	0.10436865	0.3209852	0.7571154
ENSMUSG00000000982	0.650534	-0.001996441	0.18787175	0.8613851	NA
ENSMUSG00000000983	3.062946	0.01918904	0.15120102	0.2958232	0.7402976
ENSMUSG00000001014	1.668109	-0.01258326	0.17456382	0.3746166	NA
ENSMUSG00000001016	481.447	0.1125443	0.09785384	0.0810679	0.50563
ENSMUSG00000001017	969.5202	0.03842749	0.08830035	0.5418009	0.8694062
ENSMUSG00000001018	269.4545	0.03418033	0.09678395	0.5858789	0.8873716
ENSMUSG00000001020	10.00045	-0.008389825	0.12934527	0.7864437	0.950627
ENSMUSG00000001021	6.655315	0.02311944	0.13874214	0.3212511	0.7571154
ENSMUSG00000001023	0.0392667	0	0.21433685	1	NA
ENSMUSG00000001025	42.16771	0.05832173	0.12650371	0.1864523	0.643
ENSMUSG00000001027	0.05444447	0	0.21433685	1	NA
ENSMUSG00000001029	8.383657	-0.0179672	0.13652096	0.4332614	0.8160681
ENSMUSG00000001034	89.72214	-0.01615701	0.11934501	0.7381294	0.937107
ENSMUSG00000001036	910.0112	-0.03077232	0.08094548	0.617834	0.8988649
ENSMUSG00000001039	51.72253	-0.05990301	0.12250161	0.2181622	0.6718742
ENSMUSG00000001052	334.384	-0.1505092	0.12237073	0.01507843	0.2722212
ENSMUSG00000001053	55.3683	0.006278515	0.12230498	0.8861822	0.9741474
ENSMUSG00000001054	224.908	-0.02966239	0.10704699	0.6170273	0.8985368
ENSMUSG00000001056	124.348	-0.02247086	0.10615642	0.7062683	0.9283784
ENSMUSG00000001062	204.9906	0.0136076	0.1056194	0.8198968	0.9595592
ENSMUSG00000001065	178.7747	0.05667077	0.1051391	0.3530778	0.7760086
ENSMUSG00000001082	72.04746	0.0397924	0.12245244	0.3875509	0.7951689
ENSMUSG00000001089	503.6799	-0.06155559	0.09423432	0.3316042	0.7613411
ENSMUSG00000001098	285.3681	0.1109297	0.10610814	0.07962963	0.5031879
ENSMUSG00000001100	410.361	0.03504058	0.10006397	0.5725696	0.8815053
ENSMUSG00000001103	4.568275	-0.03401089	0.20168544	0.09686867	0.5387684
ENSMUSG00000001105	170.0561	-0.03436099	0.11231155	0.540157	0.8690775
ENSMUSG00000001119	1487.04	0.02802294	0.10923396	0.6290839	0.9016154
ENSMUSG00000001120	174.2998	0.06795774	0.10644155	0.2650175	0.7179035
ENSMUSG00000001123	18.70948	-0.04183786	0.13349519	0.2053788	0.6615778
ENSMUSG00000001127	941.3184	0.1398916	0.09336571	0.03169216	0.3784283
ENSMUSG00000001128	25.61268	0.01963479	0.12902604	0.5526654	0.8737878
ENSMUSG00000001131	0.1791131	-0.002130945	0.21590585	0.8417778	NA
ENSMUSG00000001134	25.46406	0.02462829	0.12728043	0.5042789	0.8508023
ENSMUSG00000001138	174.2975	0.05053637	0.11580879	0.3506724	0.7735668
ENSMUSG00000001143	187.2504	-0.01920608	0.11897476	0.694561	0.9241945
ENSMUSG00000001150	592.4518	-0.09716769	0.08738834	0.126061	0.5790765
ENSMUSG00000001151	346.5092	-0.003556932	0.10201384	0.9536531	0.9895613
ENSMUSG00000001155	1.040445	0.01253095	0.16944279	0.3839227	NA
ENSMUSG00000001156	206.1861	-0.03062974	0.11672978	0.5557679	0.8738723
ENSMUSG00000001157	213.8336	-0.04272316	0.10305564	0.4863053	0.8433963
ENSMUSG00000001158	117.5661	-0.03362098	0.1163979	0.521824	0.8582785
ENSMUSG00000001166	4.535754	0.0283752	0.15283099	0.1845877	0.642034
ENSMUSG00000001173	680.5626	-0.02964906	0.09747779	0.635606	0.9041238
ENSMUSG00000001175	16802.04	-0.07945643	0.08867863	0.2105183	0.6664775
ENSMUSG00000001211	1125.651	0.02098674	0.08830618	0.738595	0.937144
ENSMUSG00000001225	1.156634	0.000508746	0.15300046	0.9689801	NA
ENSMUSG00000001227	592.0528	-0.009595682	0.08615171	0.8782305	0.9722317
ENSMUSG00000001228	7.522177	0.04568836	0.16101859	0.08215205	0.5067867
ENSMUSG00000001229	235.6892	-0.07498612	0.1155383	0.1837938	0.6415979
ENSMUSG00000001240	32.09883	0.01224488	0.12260287	0.778769	0.9491032
ENSMUSG00000001247	18.01438	0.03068874	0.128771	0.3883867	0.7953703
ENSMUSG00000001248	652.8262	0.1342099	0.09080312	0.03795257	0.4052815
ENSMUSG00000001249	3.145438	0.004901618	0.14085352	0.7667719	0.9453783
ENSMUSG00000001260	567.9934	0.03340143	0.12011284	0.489913	0.8450725
ENSMUSG00000001270	6211.896	0.1031458	0.11067785	0.09267215	0.5309702
ENSMUSG00000001280	383.0661	0.01040467	0.09581051	0.8681559	0.9699071
ENSMUSG00000001281	2.886242	-0.004371574	0.14207876	0.7835178	0.949543
ENSMUSG00000001285	148.3402	-0.009655836	0.10945528	0.8667193	0.9699071
ENSMUSG00000001288	49.62387	-0.03671313	0.12226235	0.4243799	0.8104486
ENSMUSG00000001289	642.1987	0.05448066	0.10249139	0.3785352	0.7905681
ENSMUSG00000001300	519.2998	-0.05485156	0.11342097	0.33036	0.7607581
ENSMUSG00000001305	74.96276	0.02094491	0.11143014	0.7099977	0.9291425
ENSMUSG00000001313	403.4085	0.05750154	0.1046596	0.3477359	0.7707009
ENSMUSG00000001323	497.7072	-0.08844915	0.09330623	0.1665024	0.6239013
ENSMUSG00000001333	3.80052	-0.01042368	0.13961694	0.5743155	0.882312
ENSMUSG00000001334	258.0314	-0.06904607	0.11863905	0.1963026	0.6544244
ENSMUSG00000001348	0.3747555	-0.005813004	0.20515517	0.6157735	NA
ENSMUSG00000001349	2.347698	-0.02149556	0.18717964	0.197815	0.6559557
ENSMUSG00000001366	349.6749	-0.008056123	0.10125871	0.895719	0.9770942
ENSMUSG00000001376	707.0571	-0.1472423	0.10274189	0.02478424	0.3404891
ENSMUSG00000001380	400.4489	0.03114972	0.10657187	0.601201	0.893949
ENSMUSG00000001383	421.8158	0.07084122	0.11663169	0.1996065	0.657396
ENSMUSG00000001403	1.308419	0.003154941	0.15596061	0.8078364	NA
ENSMUSG00000001415	721.3894	-0.01546308	0.10367874	0.7987459	0.9542594
ENSMUSG00000001416	760.6848	0.1177259	0.09181159	0.06777372	0.4820892
ENSMUSG00000001418	130.2977	0.05970698	0.11035425	0.3086311	0.7482103
ENSMUSG00000001419	834.3416	-0.08020477	0.11970825	0.1368437	0.5882566
ENSMUSG00000001420	2.149248	-0.004379304	0.14664534	0.7636495	0.9441235
ENSMUSG00000001424	659.5089	0.1518059	0.09188229	0.01989503	0.3118156
ENSMUSG00000001435	24.57677	0.08638768	0.1369089	0.04909385	0.4404889
ENSMUSG00000001436	69.30694	0.04104842	0.11466606	0.4514296	0.8276359
ENSMUSG00000001440	1511.401	0.1090792	0.08045889	0.07845351	0.5030446
ENSMUSG00000001441	789.8299	-0.1061252	0.08861589	0.09644286	0.5377975
ENSMUSG00000001444	0.1141571	0	0.21433685	1	NA
ENSMUSG00000001445	240.39	0.07481168	0.10624679	0.2227859	0.677967
ENSMUSG00000001467	340.0664	-0.02927403	0.09247891	0.6424555	0.9070392
ENSMUSG00000001472	2203.418	0.07953598	0.08945131	0.2106699	0.6664775
ENSMUSG00000001473	4.194322	-0.001756681	0.13931434	0.9171591	0.9811306
ENSMUSG00000001482	279.8745	-0.1081709	0.10007309	0.09203615	0.5304338
ENSMUSG00000001493	5.472107	-0.0310725	0.185917	0.1194626	0.5703754
ENSMUSG00000001494	0.5342076	-0.01225413	0.25097237	0.3211441	NA
ENSMUSG00000001496	13.39108	-0.0001458606	0.1313651	0.9955958	0.999393
ENSMUSG00000001504	1.713503	0.03088601	0.26154073	0.1019125	NA
ENSMUSG00000001506	18.85929	0.001247947	0.1307128	0.964124	0.9917145
ENSMUSG00000001507	77.95855	0.004658786	0.11694473	0.9271196	0.9826938
ENSMUSG00000001508	0.2946375	-4.565444e-05	0.21094501	0.9966077	NA
ENSMUSG00000001517	6.39777	-0.02565917	0.14065476	0.2714376	0.7211117
ENSMUSG00000001518	106.655	-0.0008659459	0.1130209	0.9873863	0.997845
ENSMUSG00000001520	94.86904	0.1204759	0.13762826	0.02043019	0.3155518
ENSMUSG00000001521	93.95523	-0.05899549	0.12653828	0.1823917	0.6402033
ENSMUSG00000001524	67.31019	0.02652717	0.11668104	0.6088237	0.896175
ENSMUSG00000001525	1900.365	-0.01741758	0.08627186	0.7810441	0.9492114
ENSMUSG00000001542	139.2284	-0.07375979	0.11738529	0.179492	0.6376905
ENSMUSG00000001552	320.6787	-0.007389303	0.10859588	0.8987411	0.9770942
ENSMUSG00000001555	34.65899	0.003028612	0.12466852	0.9394476	0.9851278
ENSMUSG00000001558	2.680395	-0.003766226	0.1468871	0.7937107	0.9529124
ENSMUSG00000001569	215.5557	0.06182188	0.09067525	0.3294071	0.7605488
ENSMUSG00000001576	544.1921	-0.04081546	0.09241537	0.5181552	0.8573712
ENSMUSG00000001583	0.3021167	-0.007058519	0.23003266	0.5278737	NA
ENSMUSG00000001588	0.2429509	0.003164262	0.21641391	0.7692026	NA
ENSMUSG00000001604	0.9782087	0.002699019	0.15829532	0.8317716	NA
ENSMUSG00000001627	157.3325	0.01293753	0.10416824	0.8304484	0.9623761
ENSMUSG00000001630	219.3019	-0.0427529	0.09847646	0.4945154	0.8472154
ENSMUSG00000001632	210.1479	-0.03847637	0.0888718	0.5415902	0.8693162
ENSMUSG00000001642	253.7699	-0.1168243	0.11054887	0.06114259	0.4663507
ENSMUSG00000001655	0.05978884	-0.006263472	0.22689981	0.5714135	NA
ENSMUSG00000001663	33.36263	0.04702694	0.12635311	0.2641971	0.7177888
ENSMUSG00000001665	15.77366	0.03880264	0.13624146	0.1970557	0.655299
ENSMUSG00000001666	73.4791	0.009493687	0.11841206	0.847275	0.9664132
ENSMUSG00000001670	0.5720559	9.568978e-05	0.17757209	0.993434	NA
ENSMUSG00000001672	2.759274	0.01539778	0.16182971	0.3308692	0.760826
ENSMUSG00000001674	116.5558	-0.01248902	0.10742565	0.8318205	0.9631191
ENSMUSG00000001687	1278.576	-0.03796939	0.09530552	0.5465047	0.871601
ENSMUSG00000001700	92.18873	0.04769508	0.11683219	0.3682975	0.7842494
ENSMUSG00000001707	94.80694	0.04007983	0.11789599	0.4354139	0.8174605
ENSMUSG00000001729	721.2858	0.0581967	0.08774015	0.3563661	0.7784313
ENSMUSG00000001739	2.387754	0.008684133	0.16180412	0.5258377	0.8601703
ENSMUSG00000001741	24.8906	0.02297913	0.12602578	0.5534826	0.8737878
ENSMUSG00000001750	67.8575	-0.03546443	0.11465708	0.513026	0.8544274
ENSMUSG00000001751	53.58151	0.02652035	0.12203149	0.5584089	0.8749357
ENSMUSG00000001755	101.3351	0.00756542	0.10853005	0.8964159	0.9770942
ENSMUSG00000001761	89.76217	0.05988257	0.12471535	0.1961136	0.6543329
ENSMUSG00000001763	58.87914	0.09862651	0.13493918	0.03919125	0.4109755
ENSMUSG00000001767	184.4679	0.06689869	0.10980371	0.2596881	0.7145363
ENSMUSG00000001768	199.6714	-0.005610501	0.10453924	0.9257618	0.9826938
ENSMUSG00000001773	70.86307	-0.004352946	0.1171996	0.9315044	0.9834108
ENSMUSG00000001774	277.5907	-0.1265803	0.10240513	0.05042513	0.4422671
ENSMUSG00000001783	658.1711	0.09181057	0.10368687	0.1445777	0.5975682
ENSMUSG00000001785	181.9257	0.07873224	0.09984447	0.2130464	0.6680324
ENSMUSG00000001786	259.9855	-0.118495	0.11644337	0.04939809	0.4410531
ENSMUSG00000001794	354.9813	0.08736539	0.11218265	0.1418679	0.5931932
ENSMUSG00000001802	341.4888	0.09648768	0.09152217	0.1316684	0.583856
ENSMUSG00000001815	0.1750434	0	0.21433685	1	NA
ENSMUSG00000001827	1.527048	0.0006568306	0.15410959	0.959569	NA
ENSMUSG00000001829	328.2143	-0.04862463	0.09352653	0.4418751	0.8221792
ENSMUSG00000001833	1675.289	-0.1156663	0.10566381	0.06916343	0.4845808
ENSMUSG00000001844	111.0677	0.01275016	0.1080806	0.8272687	0.9619225
ENSMUSG00000001847	1473.287	0.03280911	0.06232943	0.5416151	0.8693162
ENSMUSG00000001855	295.3701	-0.03073375	0.11657091	0.5556989	0.8738723
ENSMUSG00000001864	72.09292	0.01459346	0.11503815	0.7833714	0.9495382
ENSMUSG00000001870	41.46826	0.02737406	0.1164316	0.5995223	0.8935614
ENSMUSG00000001891	517.3879	-0.1157712	0.0980918	0.07314809	0.4945621
ENSMUSG00000001901	12.165	0.01662427	0.13055927	0.5774407	0.8838995
ENSMUSG00000001909	277.5293	-0.01801166	0.09591675	0.7739189	0.9482811
ENSMUSG00000001910	457.6984	-0.08117376	0.08891901	0.2011882	0.6593177
ENSMUSG00000001911	228.7988	-0.06492059	0.13299999	0.1054329	0.5528793
ENSMUSG00000001918	12.16757	0.05298155	0.14033253	0.1052558	0.5528793
ENSMUSG00000001924	1853.318	0.08601512	0.08762298	0.1749003	0.6314695
ENSMUSG00000001930	130.4342	0.05875375	0.1265619	0.1834647	0.6411742
ENSMUSG00000001942	116.3233	0.04738573	0.11339685	0.3966783	0.7982074
ENSMUSG00000001943	4.160288	-0.01385999	0.14847457	0.4131654	0.8043688
ENSMUSG00000001946	59.33253	0.0298362	0.11917212	0.5446392	0.8706318
ENSMUSG00000001948	8.975654	0.03837929	0.14485629	0.1463867	0.6001384
ENSMUSG00000001962	70.1131	0.0940404	0.12272108	0.08001426	0.5034944
ENSMUSG00000001964	105.3664	0.04430486	0.11535883	0.412889	0.8043688
ENSMUSG00000001983	40.64417	0.06275001	0.12009385	0.2222128	0.6772808
ENSMUSG00000001985	577.5021	-0.05108863	0.1167214	0.3385671	0.7646447
ENSMUSG00000001986	1662.88	-0.2312004	0.1243343	0.0009513626	0.07758557
ENSMUSG00000001988	5.200537	-0.009541939	0.13767301	0.6240656	0.8998754
ENSMUSG00000001995	263.3052	-0.03774058	0.10472613	0.5334755	0.8653266
ENSMUSG00000001998	167.6658	0.05224387	0.11060496	0.3685445	0.7842494
ENSMUSG00000001999	67.54095	-0.0127498	0.12174132	0.7765048	0.9487672
ENSMUSG00000002006	962.7288	0.1219524	0.10625193	0.05619758	0.4575547
ENSMUSG00000002007	29.05992	-0.002238024	0.12907183	0.9427838	0.9860027
ENSMUSG00000002010	505.8964	0.02880588	0.09461048	0.6471439	0.90842
ENSMUSG00000002012	542.5522	0.12552	0.12105166	0.03386643	0.3867281
ENSMUSG00000002014	186.2948	0.003399417	0.10226076	0.9556406	0.9903422
ENSMUSG00000002015	217.7903	0.08120955	0.09555079	0.20267	0.6597372
ENSMUSG00000002017	110.8598	-0.03375482	0.10402078	0.5787732	0.8840041
ENSMUSG00000002020	4.064686	0.0117272	0.13667218	0.5737472	0.881981
ENSMUSG00000002028	1745.805	-0.02727981	0.12431699	0.5162255	0.856276
ENSMUSG00000002031	151.2764	0.05201063	0.11019415	0.3726497	0.7863605
ENSMUSG00000002032	96.14288	0.03105287	0.11256167	0.5776513	0.8839021
ENSMUSG00000002043	35.40011	0.0446996	0.12250953	0.3371404	0.7644384
ENSMUSG00000002052	1197.978	0.05223193	0.07657088	0.3873749	0.7951689
ENSMUSG00000002055	22.94151	-0.02272924	0.13012664	0.4748119	0.8380948
